model_tag,problem_id,subject,level,n,c,pass_at_1,pass_at_3,distinct_answers,avg_output_len,gold,preds
base,test/algebra/1004.json,Algebra,1,3,2,0.6666666666666667,1.0,2,811.7,4,"[""**x=4"", ""4"", ""4""]"
base,test/algebra/101.json,Algebra,4,3,0,0.0,0.0,1,1502.3,x\in[-27],"[""[-27]"", ""[-27]"", ""[-27]""]"
base,test/algebra/1031.json,Algebra,5,3,0,0.0,0.0,1,1435.7,\frac{11}{2},"[""5.5"", ""5.5"", ""5.5""]"
base,test/algebra/1035.json,Algebra,3,3,3,1.0,1.0,1,936.3,3,"[""3"", ""3"", ""3""]"
base,test/algebra/1072.json,Algebra,4,3,1,0.33333333333333337,1.0,3,1682.7,\frac{243}{625},"[""\\frac{29}{75}"", ""\\frac{243}{625}"", ""\\frac{27}{3125}""]"
base,test/algebra/1078.json,Algebra,5,3,2,0.6666666666666667,1.0,2,1608.3,(-\sqrt{3}\sqrt{3}),"[""(-\\sqrt{3}\\sqrt{3})"", ""(-\\sqrt{3}\\sqrt{3})"", ""\\text{FinalAnswer}""]"
base,test/algebra/1082.json,Algebra,4,3,2,0.6666666666666667,1.0,2,2181.3,23,"[""23"", ""23"", ""13""]"
base,test/algebra/109.json,Algebra,2,3,3,1.0,1.0,1,844.7,0,"[""0"", ""0"", ""0""]"
base,test/algebra/1098.json,Algebra,3,3,3,1.0,1.0,1,725.0,6+9i,"[""6+9i"", ""6+9i"", ""6+9i""]"
base,test/algebra/114.json,Algebra,1,3,3,1.0,1.0,1,1525.3,4,"[""4"", ""4"", ""4""]"
base,test/algebra/1143.json,Algebra,5,3,1,0.33333333333333337,1.0,3,2301.3,17,"[""8.5"", ""17"", ""\\frac{117}{4}""]"
base,test/algebra/1184.json,Algebra,4,3,1,0.33333333333333337,1.0,3,2912.7,129,"[""144"", ""27"", ""129""]"
base,test/algebra/1199.json,Algebra,4,3,3,1.0,1.0,1,796.3,1,"[""1"", ""1"", ""1""]"
base,test/algebra/1214.json,Algebra,1,3,2,0.6666666666666667,1.0,2,1176.7,1,"[""1"", ""1"", ""2""]"
base,test/algebra/1255.json,Algebra,2,3,3,1.0,1.0,1,583.7,6,"[""6"", ""6"", ""6""]"
base,test/algebra/1265.json,Algebra,2,3,2,0.6666666666666667,1.0,2,2648.3,\frac{3}{2},"[""3.66"", ""\\frac{3}{2}"", ""\\frac{3}{2}""]"
base,test/algebra/1275.json,Algebra,3,3,2,0.6666666666666667,1.0,2,1797.3,\frac{\sqrt{3}}{3},"[""\\frac{\\sqrt[3]{9}}{3}"", ""\\frac{\\sqrt{3}}{3}"", ""\\frac{\\sqrt{3}}{3}""]"
base,test/algebra/1282.json,Algebra,5,3,2,0.6666666666666667,1.0,2,1132.3,11,"[""11"", ""11"", ""21""]"
base,test/algebra/1303.json,Algebra,1,3,3,1.0,1.0,1,813.0,4,"[""4"", ""4"", ""4""]"
base,test/algebra/1332.json,Algebra,3,3,3,1.0,1.0,1,1160.3,9,"[""9"", ""9"", ""9""]"
base,test/algebra/1338.json,Algebra,4,3,3,1.0,1.0,1,1448.7,66,"[""66"", ""66"", ""66""]"
base,test/algebra/1339.json,Algebra,5,3,2,0.6666666666666667,1.0,2,1139.0,600,"[""600"", ""600"", ""1200""]"
base,test/algebra/1343.json,Algebra,4,3,3,1.0,1.0,1,895.0,256,"[""256"", ""256"", ""256""]"
base,test/algebra/1349.json,Algebra,2,3,0,0.0,0.0,2,559.3,\text{Evelyn},"[""Carla"", ""YOUR_ANSWER"", null]"
base,test/algebra/1425.json,Algebra,2,3,2,0.6666666666666667,1.0,2,1836.7,2,"[""2"", ""2"", ""60""]"
base,test/algebra/1457.json,Algebra,3,3,3,1.0,1.0,1,2633.0,-120,"[""-120"", ""-120"", ""-120""]"
base,test/algebra/1519.json,Algebra,3,3,3,1.0,1.0,1,1132.0,\frac{\sqrt{3}}{3},"[""\\frac{\\sqrt{3}}{3}"", ""\\frac{\\sqrt{3}}{3}"", ""\\frac{\\sqrt{3}}{3}""]"
base,test/algebra/1529.json,Algebra,3,3,3,1.0,1.0,1,746.3,1,"[""1"", ""1"", ""1""]"
base,test/algebra/1547.json,Algebra,3,3,3,1.0,1.0,1,1088.0,6r^2-4r-24,"[""6r^2-4r-24"", ""6r^2-4r-24"", ""6r^2-4r-24""]"
base,test/algebra/1553.json,Algebra,3,3,3,1.0,1.0,1,2279.3,3,"[""3"", ""3"", ""3""]"
base,test/algebra/1578.json,Algebra,4,3,2,0.6666666666666667,1.0,2,1246.3,10,"[""10"", ""10"", ""YOUR_ANSWER""]"
base,test/algebra/170.json,Algebra,3,3,2,0.6666666666666667,1.0,2,2104.7,11,"[""11"", ""11"", ""YOUR_ANSWER""]"
base,test/algebra/1787.json,Algebra,2,3,3,1.0,1.0,1,1117.0,8,"[""8"", ""8"", ""8""]"
