model_tag,problem_id,subject,level,n,c,pass_at_1,pass_at_3,distinct_answers,avg_output_len,gold,preds
sft,math_train_10597,Number Theory,Level 4,3,3,1.0,1.0,1,1424.7,2112_6,"[""2112_6"", ""2112_6"", ""2112_6""]"
sft,math_train_1082,Algebra,Level 4,3,3,1.0,1.0,1,1822.0,-6,"[""-6"", ""-6"", ""-6""]"
sft,math_train_11392,Prealgebra,Level 1,3,3,1.0,1.0,1,551.3,61,"[""61"", ""61"", ""61""]"
sft,math_train_12266,Precalculus,Level 2,3,3,1.0,1.0,1,1185.3,\frac{1}{3},"[""\\frac{1}{3}"", ""\\frac{1}{3}"", ""\\frac{1}{3}""]"
sft,math_train_12343,Precalculus,Level 4,3,3,1.0,1.0,1,1120.7,-\frac{3}{2},"[""-\\frac{3}{2}"", ""-\\frac{3}{2}"", ""-\\frac{3}{2}""]"
sft,math_train_1281,Algebra,Level 2,3,3,1.0,1.0,1,692.3,(04),"[""(04)"", ""(04)"", ""(04)""]"
sft,math_train_1985,Counting & Probability,Level 4,3,3,1.0,1.0,1,1518.7,\frac{11}{16},"[""\\frac{11}{16}"", ""\\frac{11}{16}"", ""\\frac{11}{16}""]"
sft,math_train_2049,Counting & Probability,Level 5,3,0,0.0,0.0,1,1305.7,\frac{4}{9},"[""\\frac{91}{216}"", ""\\frac{91}{216}"", ""\\frac{91}{216}""]"
sft,math_train_2709,Geometry,Level 2,3,3,1.0,1.0,1,776.0,(-41),"[""(-41)"", ""(-41)"", ""(-41)""]"
sft,math_train_2781,Geometry,Level 5,3,1,0.33333333333333337,1.0,3,2086.3,11,"[""11"", ""7"", ""9""]"
sft,math_train_2786,Geometry,Level 3,3,3,1.0,1.0,1,1175.3,108\pi,"[""108\\pi"", ""108\\pi"", ""108\\pi""]"
sft,math_train_3481,Intermediate Algebra,Level 5,3,2,0.6666666666666667,1.0,2,4000.0,(\frac{15}{4}0),"[""75"", ""(\\frac{15}{4}0)"", ""(\\frac{15}{4}0)""]"
sft,math_train_3563,Intermediate Algebra,Level 2,3,3,1.0,1.0,1,1095.0,-5,"[""-5"", ""-5"", ""-5""]"
